register_date,total_transaction,user_id,total_amount
03/01/22 00.29,4,182,755000
02/01/22 00.54,3,183,1279000
02/01/22 08.25,4,184,1967000
02/01/22 20.58,4,185,893000
03/01/22 02.35,1,186,125000
01/01/22 13.00,2,187,128000
03/01/22 04.38,3,188,643000
03/01/22 07.32,4,189,1789000
02/01/22 10.24,1,190,98000
01/01/22 19.54,1,191,78000
03/01/22 02.40,4,192,1631000
03/01/22 10.49,2,193,146000
02/01/22 23.36,5,194,2449000
03/01/22 12.48,3,195,686000
03/01/22 16.14,1,196,110000
03/01/22 08.27,4,197,1929000
02/01/22 16.22,3,198,469000
02/01/22 04.28,2,199,168000
01/01/22 22.39,4,200,1973000
01/01/22 23.00,3,201,753000
02/01/22 03.04,4,202,2098000
03/01/22 04.20,3,203,422000
02/01/22 12.03,1,204,160000
01/01/22 05.44,5,205,1997000
02/01/22 05.11,1,206,28000
03/01/22 10.00,1,207,123000
03/01/22 18.06,3,208,611000
01/01/22 13.46,3,209,767000
03/01/22 02.36,1,210,75000
02/01/22 12.01,3,211,507000
02/01/22 01.43,3,212,582000
03/01/22 05.11,2,213,139000
03/01/22 18.56,1,214,125000
03/01/22 11.47,3,215,502000
02/01/22 17.55,5,216,2004000
04/01/22 01.34,2,217,109000
02/01/22 14.21,3,218,506000
01/01/22 06.19,4,219,1337000
04/01/22 06.02,3,220,779000
03/01/22 21.52,3,221,415000
04/01/22 00.27,3,222,494000
01/01/22 10.50,3,223,400000
02/01/22 20.37,1,224,49000
01/01/22 22.56,1,225,151000
04/01/22 05.50,4,226,1268000
03/01/22 08.57,3,227,571000
02/01/22 11.40,3,228,511000
03/01/22 09.28,4,229,1426000
03/01/22 21.05,5,230,2256000
02/01/22 10.20,4,231,1325000
03/01/22 14.40,5,232,1592000
02/01/22 08.29,2,233,70000
03/01/22 23.39,4,234,1860000
02/01/22 20.03,4,235,1979000
04/01/22 03.22,3,236,307000
03/01/22 08.25,1,237,101000
03/01/22 22.23,5,238,1985000
04/01/22 00.34,3,239,446000
02/01/22 04.52,5,240,2215000
02/01/22 08.29,1,241,83000
03/01/22 01.35,1,242,83000
02/01/22 21.43,3,243,710000
04/01/22 02.04,3,244,752000
01/01/22 19.07,1,245,86000
04/01/22 02.44,1,246,128000
04/01/22 01.16,3,247,633000
03/01/22 12.50,2,248,194000
03/01/22 08.47,4,249,1374000
04/01/22 10.26,3,250,879000
03/01/22 04.37,4,251,1267000
03/01/22 08.12,3,252,286000
03/01/22 15.33,3,253,659000
04/01/22 21.36,3,254,562000
04/01/22 20.55,4,255,2084000
04/01/22 21.21,4,256,1387000
02/01/22 18.09,2,257,214000
04/01/22 17.46,5,258,2511000
04/01/22 07.37,5,259,1901000
03/01/22 07.34,1,260,41000
02/01/22 22.17,1,261,122000
04/01/22 20.20,3,262,707000
03/01/22 21.58,3,263,381000
04/01/22 20.18,3,264,734000
03/01/22 09.15,1,265,46000
03/01/22 19.28,1,266,38000
05/01/22 03.08,2,267,176000
02/01/22 16.26,1,268,54000
03/01/22 17.17,5,269,1770000
05/01/22 06.16,1,270,50000
04/01/22 01.57,5,271,2440000
05/01/22 05.52,2,272,197000
05/01/22 06.53,3,273,507000
02/01/22 19.09,3,274,489000
03/01/22 22.20,4,275,965000
03/01/22 11.29,1,276,64000
03/01/22 19.22,3,277,539000
05/01/22 02.21,1,278,123000
04/01/22 01.06,4,279,1950000
05/01/22 06.04,2,280,119000
05/01/22 17.02,1,281,110000
03/01/22 01.44,2,282,68000
04/01/22 23.28,2,283,224000
03/01/22 16.36,3,284,930000
04/01/22 11.33,1,285,83000
03/01/22 22.53,2,286,106000
05/01/22 08.02,4,287,695000
05/01/22 10.06,4,288,1837000
04/01/22 01.27,3,289,614000
05/01/22 23.15,2,290,146000
04/01/22 05.23,3,291,305000
03/01/22 20.00,1,292,77000
04/01/22 17.38,3,293,675000
03/01/22 23.07,3,294,274000
05/01/22 03.02,3,295,498000
05/01/22 16.04,4,296,1469000
05/01/22 17.13,5,297,2464000
04/01/22 11.57,4,298,1671000
05/01/22 17.55,3,299,328000
04/01/22 12.07,3,300,518000
05/01/22 11.25,4,301,1754000
05/01/22 10.30,2,302,166000
05/01/22 18.18,2,303,169000
06/01/22 01.59,3,304,247000
05/01/22 20.13,3,305,704000
06/01/22 06.03,2,306,152000
03/01/22 17.37,3,307,666000
05/01/22 04.53,2,308,225000
05/01/22 18.28,3,309,509000
05/01/22 09.51,2,310,109000
05/01/22 18.27,2,311,125000
03/01/22 18.55,2,312,120000
05/01/22 02.03,4,313,1535000
06/01/22 09.47,4,314,2116000
05/01/22 16.55,2,315,97000
05/01/22 23.01,3,316,450000
05/01/22 06.41,2,317,149000
06/01/22 19.44,1,318,135000
04/01/22 09.24,3,319,357000
05/01/22 07.11,1,320,44000
06/01/22 16.17,2,321,163000
05/01/22 11.51,1,322,85000
05/01/22 22.24,5,323,1981000
05/01/22 14.39,3,324,913000
06/01/22 08.23,2,325,119000
05/01/22 21.31,4,326,2640000
05/01/22 02.14,1,327,63000
05/01/22 14.09,1,328,86000
06/01/22 11.07,3,329,630000
06/01/22 03.27,1,330,102000
06/01/22 13.33,3,331,577000
07/01/22 05.51,3,332,520000
04/01/22 12.00,3,333,410000
05/01/22 23.11,2,334,206000
06/01/22 19.51,3,335,276000
06/01/22 15.38,2,336,108000
06/01/22 20.45,2,337,200000
05/01/22 08.15,3,338,511000
05/01/22 13.52,3,339,553000
06/01/22 08.56,3,340,288000
04/01/22 20.51,2,341,112000
07/01/22 12.17,3,342,423000
07/01/22 02.25,1,343,60000
06/01/22 19.10,3,344,382000
05/01/22 21.08,2,345,185000
05/01/22 11.44,3,346,488000
07/01/22 15.49,1,347,20000
07/01/22 05.42,1,348,131000
06/01/22 13.57,1,349,67000
05/01/22 20.41,3,350,435000
06/01/22 03.00,2,351,110000
07/01/22 00.19,2,352,75000
07/01/22 00.39,3,353,500000
06/01/22 12.30,4,354,1907000
06/01/22 16.48,2,355,219000
05/01/22 04.33,3,356,583000
06/01/22 23.02,3,357,350000
05/01/22 21.30,3,358,510000
05/01/22 22.22,3,359,445000
05/01/22 07.10,4,360,877000
06/01/22 17.56,3,361,632000
05/01/22 22.56,3,362,502000
07/01/22 16.31,1,363,52000
07/01/22 08.05,4,364,1627000
05/01/22 16.27,4,365,1341000
06/01/22 05.42,3,366,478000
07/01/22 21.28,2,367,134000
07/01/22 16.49,1,368,104000
07/01/22 16.40,2,369,176000
06/01/22 00.32,1,370,100000
05/01/22 09.16,5,371,2387000
07/01/22 17.13,1,372,81000
07/01/22 12.24,1,373,64000
05/01/22 21.24,1,374,95000
05/01/22 18.52,2,375,53000
07/01/22 09.31,2,376,203000
05/01/22 14.38,1,377,108000
08/01/22 00.02,4,378,1934000
08/01/22 06.46,3,379,182000
07/01/22 05.05,2,380,303000
07/01/22 15.30,5,381,2370000
08/01/22 00.43,3,382,344000
07/01/22 04.49,1,383,43000
06/01/22 14.44,1,384,76000
05/01/22 20.30,2,385,143000
07/01/22 13.29,4,386,2530000
07/01/22 03.34,2,387,133000
08/01/22 11.59,3,388,376000
08/01/22 11.57,2,389,117000
07/01/22 23.28,2,390,195000
06/01/22 22.39,1,391,34000
07/01/22 00.11,1,392,110000
06/01/22 20.23,2,393,190000
07/01/22 03.28,4,394,1287000
06/01/22 02.03,2,395,129000
05/01/22 19.34,3,396,616000
08/01/22 09.20,4,397,1464000
08/01/22 11.45,3,398,558000
06/01/22 14.23,3,399,600000
07/01/22 03.20,2,400,94000
07/01/22 19.09,4,401,1678000
07/01/22 16.45,4,402,1835000
08/01/22 07.19,3,403,634000
08/01/22 09.18,2,404,50000
07/01/22 08.03,2,405,112000
07/01/22 19.22,5,406,1471000
08/01/22 07.50,3,407,564000
07/01/22 23.15,1,408,53000
07/01/22 07.25,4,409,1640000
08/01/22 11.07,2,410,201000
08/01/22 10.37,2,411,139000
08/01/22 15.55,2,412,186000
08/01/22 15.19,3,413,455000
08/01/22 21.12,2,414,192000
07/01/22 22.44,2,415,118000
08/01/22 06.46,3,416,630000
06/01/22 19.21,2,417,153000
07/01/22 10.16,3,418,509000
08/01/22 19.43,4,419,1936000
06/01/22 08.36,1,420,108000
07/01/22 12.28,5,421,1762000
07/01/22 09.13,1,422,115000
09/01/22 00.45,2,423,159000
09/01/22 02.33,4,424,1713000
08/01/22 13.24,3,425,297000
08/01/22 22.35,3,426,516000
06/01/22 15.26,4,427,1581000
08/01/22 13.15,3,428,451000
07/01/22 22.10,3,429,374000
08/01/22 18.36,3,430,661000
08/01/22 22.20,3,431,321000
07/01/22 00.58,2,432,153000
09/01/22 06.07,3,433,609000
09/01/22 08.15,4,434,1525000
07/01/22 13.22,3,435,506000
08/01/22 22.25,2,436,132000
06/01/22 17.55,2,437,92000
07/01/22 01.30,4,438,1915000
06/01/22 20.18,3,439,216000
09/01/22 13.35,2,440,213000
07/01/22 21.00,1,441,22000
09/01/22 17.17,4,442,2064000
06/01/22 18.29,3,443,659000
07/01/22 12.51,5,444,2268000
08/01/22 19.51,2,445,85000
07/01/22 23.20,3,446,565000
08/01/22 20.19,3,447,586000
09/01/22 03.33,1,448,78000
07/01/22 00.09,3,449,560000
08/01/22 16.02,3,450,442000
09/01/22 03.25,4,451,931000
08/01/22 11.26,1,452,54000
08/01/22 15.03,4,453,1916000
07/01/22 09.54,3,454,343000
09/01/22 09.19,2,455,60000
06/01/22 23.00,1,456,110000
09/01/22 22.08,4,457,1577000
09/01/22 11.12,3,458,715000
09/01/22 20.37,3,459,240000
09/01/22 16.57,3,460,597000
08/01/22 22.41,4,461,1561000
07/01/22 13.00,4,462,1682000
09/01/22 13.34,1,463,68000
07/01/22 11.05,3,464,692000
09/01/22 23.10,3,465,442000
09/01/22 13.17,1,466,125000
08/01/22 18.46,3,467,535000
09/01/22 02.34,5,468,2164000
09/01/22 21.04,2,469,166000
09/01/22 20.02,1,470,73000
08/01/22 05.14,3,471,518000
09/01/22 10.20,3,472,568000
09/01/22 16.51,3,473,638000
09/01/22 02.14,2,474,146000
10/01/22 06.15,4,475,1320000
08/01/22 03.54,4,476,1829000
10/01/22 18.56,3,477,639000
09/01/22 09.54,5,478,2034000
09/01/22 09.06,1,479,60000
10/01/22 01.58,3,480,543000
09/01/22 20.42,3,481,513000
08/01/22 08.53,3,482,347000
09/01/22 04.43,5,483,2907000
09/01/22 07.32,3,484,457000
10/01/22 18.29,3,485,401000
10/01/22 22.23,4,486,1718000
09/01/22 22.25,4,487,2358000
10/01/22 14.50,3,488,482000
11/01/22 05.38,2,489,94000
09/01/22 18.25,3,490,295000
11/01/22 01.25,4,491,1420000
10/01/22 01.38,3,492,363000
10/01/22 12.00,3,493,223000
10/01/22 10.52,4,494,2044000
09/01/22 10.14,4,495,1157000
11/01/22 06.18,1,496,64000
11/01/22 10.46,4,497,1440000
09/01/22 10.15,3,498,528000
10/01/22 11.33,3,499,498000
10/01/22 12.39,3,500,363000
09/01/22 17.15,3,501,538000
09/01/22 19.58,4,502,1547000
11/01/22 13.11,3,503,450000
11/01/22 04.07,1,504,60000
11/01/22 02.47,2,505,327000
10/01/22 13.45,4,506,1225000
10/01/22 01.36,3,507,567000
10/01/22 09.56,3,508,558000
11/01/22 13.10,3,509,561000
11/01/22 16.12,3,510,672000
11/01/22 08.43,2,511,168000
10/01/22 05.37,1,512,76000
10/01/22 08.31,3,513,859000
10/01/22 05.00,1,514,44000
10/01/22 02.51,2,515,143000
11/01/22 22.11,4,516,1639000
11/01/22 07.17,1,517,78000
11/01/22 16.04,4,518,1702000
11/01/22 08.26,2,519,174000
10/01/22 07.03,4,520,2130000
09/01/22 17.52,2,521,94000
09/01/22 12.09,3,522,614000
10/01/22 18.59,1,523,117000
11/01/22 00.34,1,524,80000
10/01/22 15.03,4,525,2112000
11/01/22 20.39,4,526,1331000
10/01/22 15.12,1,527,59000
11/01/22 07.55,1,528,76000
12/01/22 03.37,1,529,106000
12/01/22 08.41,4,530,1789000
12/01/22 09.09,5,531,1725000
11/01/22 14.48,2,532,182000
11/01/22 10.01,3,533,818000
12/01/22 00.02,2,534,132000
12/01/22 00.02,4,535,1284000
11/01/22 07.08,5,536,2162000
11/01/22 10.15,2,537,107000
12/01/22 00.21,3,538,663000
10/01/22 03.40,3,539,543000
12/01/22 15.56,1,540,38000
11/01/22 23.45,5,541,2159000
12/01/22 15.38,1,542,130000
12/01/22 11.01,3,543,508000
12/01/22 23.55,1,544,83000
13/01/22 03.37,4,545,1798000
12/01/22 15.22,2,546,168000
12/01/22 14.56,4,547,1500000
12/01/22 14.44,2,548,164000
11/01/22 06.48,3,549,653000
12/01/22 20.12,3,550,481000
13/01/22 09.55,5,551,2304000
12/01/22 01.29,3,552,536000
12/01/22 20.53,3,553,473000
13/01/22 14.19,4,554,1775000
12/01/22 15.22,4,555,1970000
13/01/22 05.09,5,556,2479000
13/01/22 05.48,3,557,518000
12/01/22 18.32,4,558,1749000
12/01/22 07.27,3,559,727000
13/01/22 16.39,1,560,75000
12/01/22 18.38,2,561,111000
12/01/22 12.50,3,562,474000
12/01/22 20.54,2,563,102000
12/01/22 13.01,4,564,1990000
11/01/22 22.14,1,565,28000
11/01/22 14.28,3,566,388000
13/01/22 10.12,3,567,1086000
11/01/22 13.59,4,568,1491000
13/01/22 03.37,3,569,581000
13/01/22 21.37,3,570,519000
11/01/22 11.01,2,571,111000
13/01/22 15.57,2,572,152000
11/01/22 17.03,5,573,1897000
14/01/22 01.40,4,574,1811000
12/01/22 16.47,2,575,128000
14/01/22 02.33,1,576,101000
12/01/22 21.03,3,577,489000
14/01/22 08.20,2,578,68000
13/01/22 16.53,4,579,1635000
13/01/22 19.01,3,580,602000
12/01/22 22.57,3,581,623000
13/01/22 03.55,3,582,578000
13/01/22 19.37,3,583,481000
13/01/22 12.31,1,584,31000
13/01/22 20.46,1,585,105000
14/01/22 16.08,2,586,67000
12/01/22 21.39,3,587,728000
13/01/22 10.49,3,588,455000
14/01/22 08.10,3,589,438000
14/01/22 19.33,1,590,62000
15/01/22 02.16,4,591,825000
14/01/22 20.07,1,592,48000
13/01/22 19.26,2,593,168000
14/01/22 07.29,1,594,46000
13/01/22 11.37,2,595,104000
14/01/22 09.57,3,596,616000
14/01/22 20.08,1,597,44000
15/01/22 06.50,3,598,848000
12/01/22 08.17,3,599,571000
14/01/22 23.33,1,600,10000
12/01/22 11.18,2,601,188000
15/01/22 05.46,3,602,778000
12/01/22 21.38,1,603,93000
14/01/22 17.33,2,604,153000
14/01/22 19.20,3,605,622000
14/01/22 19.37,3,606,978000
13/01/22 11.32,2,607,127000
12/01/22 17.27,2,608,105000
14/01/22 22.47,4,609,805000
14/01/22 17.42,4,610,1785000
14/01/22 11.08,5,611,1340000
15/01/22 11.31,2,612,98000
12/01/22 18.49,3,613,376000
13/01/22 17.05,4,614,2084000
14/01/22 00.28,1,615,86000
15/01/22 14.02,2,616,88000
12/01/22 19.02,1,617,123000
15/01/22 09.31,5,618,2033000
14/01/22 07.17,3,619,375000
15/01/22 14.02,3,620,785000
15/01/22 03.07,3,621,723000
13/01/22 23.38,2,622,147000
15/01/22 16.04,4,623,1518000
15/01/22 07.18,3,624,451000
14/01/22 03.29,2,625,155000
13/01/22 19.16,4,626,1602000
14/01/22 07.19,3,627,771000
15/01/22 09.48,1,628,40000
14/01/22 05.52,1,629,59000
14/01/22 13.20,3,630,490000
14/01/22 08.43,3,631,407000
14/01/22 07.57,3,632,805000
13/01/22 13.57,4,633,1731000
14/01/22 14.50,2,634,154000
14/01/22 07.11,3,635,665000
14/01/22 08.19,5,636,2321000
15/01/22 08.02,2,637,188000
16/01/22 08.18,2,638,157000
15/01/22 17.25,1,639,73000
16/01/22 00.53,1,640,30000
14/01/22 06.29,3,641,483000
15/01/22 15.47,4,642,1527000
13/01/22 17.22,2,643,145000
15/01/22 03.39,3,644,383000
16/01/22 00.17,2,645,149000
14/01/22 14.27,5,646,2505000
16/01/22 01.48,3,647,929000
14/01/22 10.57,3,648,519000
16/01/22 00.53,1,649,63000
16/01/22 04.27,2,650,54000
15/01/22 19.37,1,651,132000
13/01/22 19.46,2,652,144000
16/01/22 09.14,3,653,539000
15/01/22 00.41,2,654,50000
15/01/22 22.13,3,655,452000
15/01/22 13.10,1,656,96000
15/01/22 04.50,3,657,582000
15/01/22 06.30,4,658,1411000
15/01/22 07.31,2,659,200000
16/01/22 11.42,4,660,1743000
16/01/22 19.47,3,661,445000
15/01/22 14.15,4,662,1768000
15/01/22 08.51,3,663,304000
14/01/22 13.40,4,664,1114000
16/01/22 20.16,3,665,314000
15/01/22 16.45,3,666,667000
16/01/22 23.45,2,667,156000
14/01/22 13.29,3,668,456000
16/01/22 17.08,3,669,500000
16/01/22 16.13,1,670,95000
16/01/22 14.22,3,671,412000
15/01/22 23.17,4,672,1520000
17/01/22 13.12,3,673,783000
15/01/22 14.22,4,674,1729000
16/01/22 05.59,3,675,401000
17/01/22 07.13,4,676,1253000
17/01/22 10.00,1,677,82000
17/01/22 00.34,3,678,243000
16/01/22 08.26,3,679,405000
16/01/22 09.46,3,680,408000
16/01/22 14.39,1,681,34000
17/01/22 06.49,1,682,70000
16/01/22 10.11,4,683,1930000
17/01/22 18.45,3,684,473000
15/01/22 04.19,3,685,528000
16/01/22 10.20,2,686,103000
16/01/22 13.34,5,687,2037000
17/01/22 18.38,3,688,531000
16/01/22 12.23,2,689,161000
17/01/22 13.41,1,690,62000
17/01/22 18.58,3,691,564000
16/01/22 10.21,4,692,752000
16/01/22 17.47,3,693,646000
18/01/22 01.18,5,694,1934000
18/01/22 07.31,5,695,2316000
16/01/22 20.51,1,696,123000
16/01/22 16.50,4,697,2126000
16/01/22 17.15,3,698,226000
17/01/22 01.32,2,699,154000
17/01/22 16.31,3,700,260000
18/01/22 09.39,3,701,568000
17/01/22 16.51,3,702,328000
17/01/22 11.25,4,703,1925000
15/01/22 17.35,1,704,85000
15/01/22 16.05,3,705,479000
17/01/22 04.12,3,706,756000
17/01/22 10.34,3,707,578000
18/01/22 09.41,2,708,196000
17/01/22 13.04,3,709,616000
17/01/22 16.42,5,710,2560000
16/01/22 13.03,1,711,118000
17/01/22 07.11,4,712,853000
18/01/22 16.12,4,713,1350000
17/01/22 02.15,4,714,1422000
17/01/22 20.50,5,715,1703000
17/01/22 14.12,2,716,230000
17/01/22 10.56,5,717,1913000
16/01/22 11.34,2,718,93000
17/01/22 02.32,3,719,520000
18/01/22 02.13,5,720,2396000
16/01/22 15.46,4,721,1841000
18/01/22 02.38,3,722,165000
18/01/22 11.05,2,723,158000
17/01/22 09.43,5,724,1872000
18/01/22 09.15,3,725,291000
16/01/22 07.48,3,726,513000
19/01/22 00.09,3,727,582000
17/01/22 09.54,4,728,2057000
18/01/22 13.39,5,729,1902000
16/01/22 20.22,4,730,1680000
19/01/22 06.55,4,731,1231000
18/01/22 12.20,2,732,139000
16/01/22 23.01,4,733,1766000
18/01/22 05.55,4,734,2024000
19/01/22 02.26,5,735,1866000
19/01/22 00.43,4,736,1424000
18/01/22 08.55,4,737,591000
19/01/22 05.13,3,738,585000
18/01/22 22.41,4,739,1764000
18/01/22 21.09,3,740,341000
18/01/22 23.55,3,741,699000
19/01/22 01.19,4,742,1828000
17/01/22 19.55,5,743,2344000
18/01/22 19.24,2,744,148000
16/01/22 19.20,5,745,2189000
18/01/22 21.22,1,746,47000
17/01/22 06.08,4,747,754000
17/01/22 20.51,3,748,381000
19/01/22 08.07,3,749,424000
18/01/22 04.39,3,750,612000
18/01/22 18.49,1,751,100000
18/01/22 11.18,4,752,2270000
17/01/22 20.33,5,753,2574000
18/01/22 00.29,2,754,138000
17/01/22 07.36,3,755,460000
19/01/22 16.59,1,756,38000
19/01/22 06.38,3,757,561000
17/01/22 04.39,4,758,1967000
18/01/22 03.35,1,759,123000
18/01/22 18.03,4,760,948000
19/01/22 17.27,1,761,78000
18/01/22 08.41,5,762,2458000
19/01/22 00.36,3,763,342000
19/01/22 04.36,1,764,85000
17/01/22 18.14,3,765,524000
17/01/22 11.16,1,766,36000
17/01/22 23.01,5,767,1857000
19/01/22 01.47,3,768,495000
20/01/22 05.28,3,769,846000
18/01/22 13.43,4,770,1725000
18/01/22 18.06,1,771,53000
19/01/22 15.12,4,772,1246000
19/01/22 21.35,5,773,2254000
20/01/22 09.26,3,774,325000
18/01/22 22.10,3,775,547000
18/01/22 01.47,2,776,138000
19/01/22 16.36,4,777,662000
20/01/22 09.30,2,778,192000
19/01/22 12.26,1,779,46000
19/01/22 13.55,3,780,824000
19/01/22 02.38,3,781,532000
19/01/22 18.28,3,782,363000
20/01/22 01.18,2,783,207000
18/01/22 22.56,5,784,2074000
18/01/22 21.32,3,785,572000
20/01/22 13.43,3,786,594000
17/01/22 20.45,4,787,1677000
18/01/22 12.09,3,788,533000
19/01/22 23.09,3,789,266000
19/01/22 20.27,3,790,305000
20/01/22 00.26,2,791,61000
20/01/22 01.29,3,792,555000
20/01/22 09.41,3,793,739000
20/01/22 18.30,4,794,1842000
20/01/22 00.05,4,795,1936000
21/01/22 00.39,1,796,86000
19/01/22 19.17,1,797,60000
20/01/22 20.42,1,798,96000
20/01/22 09.55,2,799,201000
20/01/22 01.34,5,800,2372000
21/01/22 06.33,3,801,445000
19/01/22 20.31,3,802,176000
20/01/22 16.20,5,803,1983000
19/01/22 23.24,3,804,533000
20/01/22 04.50,4,805,1952000
19/01/22 22.02,3,806,748000
20/01/22 23.44,4,807,1829000
21/01/22 05.14,2,808,209000
19/01/22 11.01,2,809,219000
